Date,Operator,CO2_trtmt,Ring,Collar,Time,V_A,AirTemp,SampleTrackerNo,Sample,CH4_ppm,CO2_ppm,N2O_ppm,CH4_ConversionFactor,CO2_ConversionFactor,N2O_ConversionFactor,CH4_ngC_cm-3,CO2_ugC_cm-3,N2O_ngN_cm-3,Comments
2013-05-06,Loic,Ambient,1,1.0,0,16.3,19.8,2652,R1.0_Amb,1.792672,448.544201,0.371260,0.499613,0.0004996,1.164877,0.8956,0.2241,0.4325,
2013-05-06,Loic,Ambient,1,1.0,15,,,2652,R1.0_T15,1.804537,842.491477,0.391006,,,,0.9016,0.4209,0.4555,
2013-05-06,Loic,Ambient,1,1.0,30,,,2652,R1.0_T30,1.620691,913.546823,0.349976,,,,0.8097,0.4564,0.4077,
2013-05-06,Loic,Ambient,1,1.0,45,,,2652,R1.0_T45,1.632577,985.701710,0.360007,,,,0.8157,0.4925,0.4194,
2013-05-06,Loic,Ambient,1,1.1,0,15.7,17.7,2653,R1.1_Amb,1.712858,598.968897,0.359067,0.503220,0.0005032,1.173287,0.8619,0.3014,0.4213,
2013-05-06,Loic,Ambient,1,1.1,15,,,2653,R1.1_T15,1.658465,766.544787,0.357327,,,,0.8346,0.3857,0.4192,
2013-05-06,Loic,Ambient,1,1.1,30,,,2653,R1.1_T30,1.583422,879.661074,0.361871,,,,0.7968,0.4427,0.4246,
2013-05-06,Loic,Ambient,1,1.1,45,,,2653,R1.1_T45,1.563296,974.928338,0.382649,,,,0.7867,0.4906,0.4490,
2013-05-06,Loic,Ambient,1,1.2,0,15.3,19.0,2654,R1.2_Amb,1.811436,696.164303,0.381821,0.500981,0.0005010,1.168066,0.9075,0.3488,0.4460,
2013-05-06,Loic,Ambient,1,1.2,15,,,2654,R1.2_T15,1.701367,867.926772,0.373486,,,,0.8524,0.4348,0.4363,
2013-05-06,Loic,Ambient,1,1.2,30,,,2654,R1.2_T30,1.594811,1016.594604,0.360928,,,,0.7990,0.5093,0.4216,
2013-05-06,Loic,Ambient,1,1.2,45,,,2654,R1.2_T45,1.521886,1265.991422,0.374371,,,,0.7624,0.6342,0.4373,
2013-05-06,Loic,Ambient,1,1.4,0,16.2,18.0,2655,R1.4_Amb,1.681797,1077.132089,0.362486,0.502702,0.0005027,1.172078,0.8454,0.5415,0.4249,"For CO2, odd sequence of concentration (also, high residual diagnostic). In particular compared to the other T0s. Removed from analysis"
2013-05-06,Loic,Ambient,1,1.4,15,,,2655,R1.4_T15,1.638215,722.054682,0.378477,,,,0.8235,0.3630,0.4436,
2013-05-06,Loic,Ambient,1,1.4,30,,,2655,R1.4_T30,1.652207,873.712857,0.385421,,,,0.8306,0.4392,0.4517,
2013-05-06,Loic,Ambient,1,1.4,45,,,2655,R1.4_T45,1.554902,1051.508629,0.380696,,,,0.7817,0.5286,0.4462,
2013-05-06,Loic,Ambient,1,1.5,0,16.3,19.0,2656,R1.5_Amb,1.768573,457.361035,0.379711,0.500981,0.0005010,1.168066,0.8860,0.2291,0.4435,
2013-05-06,Loic,Ambient,1,1.5,15,,,2656,R1.5_T15,1.666415,942.576659,0.356713,,,,0.8348,0.4722,0.4167,
2013-05-06,Loic,Ambient,1,1.5,30,,,2656,R1.5_T30,1.612308,1147.355466,0.386166,,,,0.8077,0.5748,0.4511,
2013-05-06,Loic,Ambient,1,1.5,45,,,2656,R1.5_T45,1.508139,1343.659595,0.392270,,,,0.7555,0.6731,0.4582,
2013-05-06,Loic,Ambient,1,1.6,0,17.2,18.0,2657,R1.6_Amb,2.142211,1205.362066,0.437153,0.502702,0.0005027,1.172078,1.0769,0.6059,0.5124,"For CO2, no change in conc. Bad vials? Removed from analysis"
2013-05-06,Loic,Ambient,1,1.6,15,,,2657,R1.6_T15,1.786066,1049.187219,0.400578,,,,0.8979,0.5274,0.4695,"For CO2, no change in conc. Bad vials? Removed from analysis"
2013-05-06,Loic,Ambient,1,1.6,30,,,2657,R1.6_T30,1.633973,1065.688478,0.371658,,,,0.8214,0.5357,0.4356,"For CO2, no change in conc. Bad vials? Removed from analysis"
2013-05-06,Loic,Ambient,1,1.6,45,,,2657,R1.6_T45,1.573508,1100.118520,0.402608,,,,0.7910,0.5530,0.4719,"For CO2, no change in conc. Bad vials? Removed from analysis"
2013-05-06,Loic,Ambient,1,1.7,0,16.0,17.4,2658,R1.7_Amb,1.823992,429.047424,0.397793,0.503740,0.0005037,1.174499,0.9188,0.2161,0.4672,
2013-05-06,Loic,Ambient,1,1.7,15,,,2658,R1.7_T15,1.772337,599.802976,0.361320,,,,0.8928,0.3021,0.4244,
2013-05-06,Loic,Ambient,1,1.7,30,,,2658,R1.7_T30,1.678113,763.409300,0.388093,,,,0.8453,0.3846,0.4558,
2013-05-06,Loic,Ambient,1,1.7,45,,,2658,R1.7_T45,1.563733,839.273065,0.369028,,,,0.7877,0.4228,0.4334,
2013-05-06,Catarina,Elevated,2,2.0,0,16.4,18.3,2659,R2.0_Amb,1.830835,387.862778,0.357318,0.502185,0.0005022,1.170872,0.9194,0.1948,0.4184,
2013-05-06,Catarina,Elevated,2,2.0,15,,,2659,R2.0_T15,1.776521,578.858170,0.359853,,,,0.8921,0.2907,0.4213,
2013-05-06,Catarina,Elevated,2,2.0,30,,,2659,R2.0_T30,1.867864,712.123933,0.411802,,,,0.9380,0.3576,0.4822,
2013-05-06,Catarina,Elevated,2,2.0,45,,,2659,R2.0_T45,1.649278,684.067340,0.365942,,,,0.8282,0.3435,0.4285,
2013-05-06,Catarina,Elevated,2,2.1,0,16.2,20.2,2660,R2.1_Amb,1.749697,387.908915,0.341316,0.498932,0.0004989,1.163288,0.8730,0.1935,0.3970,
2013-05-06,Catarina,Elevated,2,2.1,15,,,2660,R2.1_T15,1.769769,691.916611,0.367730,,,,0.8830,0.3452,0.4278,
2013-05-06,Catarina,Elevated,2,2.1,30,,,2660,R2.1_T30,1.729434,878.244506,0.377662,,,,0.8629,0.4382,0.4393,
2013-05-06,Catarina,Elevated,2,2.1,45,,,2660,R2.1_T45,1.628467,1038.755600,0.360906,,,,0.8125,0.5183,0.4198,
2013-05-06,Catarina,Elevated,2,2.2,0,15.0,21.3,2661,R2.2_Amb,1.759006,372.576502,0.360371,0.497068,0.0004971,1.158942,0.8743,0.1852,0.4176,
2013-05-06,Catarina,Elevated,2,2.2,15,,,2661,R2.2_T15,1.734452,505.664001,0.353872,,,,0.8621,0.2513,0.4101,
2013-05-06,Catarina,Elevated,2,2.2,30,,,2661,R2.2_T30,1.740026,605.569360,0.347996,,,,0.8649,0.3010,0.4033,
2013-05-06,Catarina,Elevated,2,2.2,45,,,2661,R2.2_T45,1.650500,747.123949,0.384449,,,,0.8204,0.3714,0.4456,
2013-05-06,Yui,Elevated,2,2.3,0,16.5,21.2,2662,R2.3_Amb,1.785957,339.513273,0.384779,0.497237,0.0004972,1.159336,0.8880,0.1688,0.4461,
2013-05-06,Yui,Elevated,2,2.3,15,,,2662,R2.3_T15,1.740469,516.015358,0.375556,,,,0.8654,0.2566,0.4354,
2013-05-06,Yui,Elevated,2,2.3,30,,,2662,R2.3_T30,1.576186,586.961242,0.381162,,,,0.7837,0.2919,0.4419,
2013-05-06,Yui,Elevated,2,2.3,45,,,2662,R2.3_T45,1.499609,672.466071,0.373525,,,,0.7457,0.3344,0.4330,
2013-05-06,Catarina,Elevated,2,2.5,0,16.6,18.5,2663,R2.5_Amb,1.631364,380.921994,0.359884,0.501840,0.0005018,1.170069,0.8187,0.1912,0.4211,
2013-05-06,Catarina,Elevated,2,2.5,15,,,2663,R2.5_T15,1.527569,504.632308,0.367645,,,,0.7666,0.2532,0.4302,
2013-05-06,Catarina,Elevated,2,2.5,30,,,2663,R2.5_T30,1.508161,533.186655,0.384423,,,,0.7569,0.2676,0.4498,
2013-05-06,Catarina,Elevated,2,2.5,45,,,2663,R2.5_T45,1.673043,705.226094,0.425974,,,,0.8396,0.3539,0.4984,
2013-05-06,Catarina,Elevated,2,2.6,0,16.6,20.0,2664,R2.6_Amb,1.750487,365.509973,0.358006,0.499272,0.0004993,1.164082,0.8740,0.1825,0.4167,
2013-05-06,Catarina,Elevated,2,2.6,15,,,2664,R2.6_T15,1.621279,590.562167,0.371956,,,,0.8095,0.2949,0.4330,
2013-05-06,Catarina,Elevated,2,2.6,30,,,2664,R2.6_T30,1.712126,648.090714,0.372252,,,,0.8548,0.3236,0.4333,
2013-05-06,Catarina,Elevated,2,2.6,45,,,2664,R2.6_T45,1.588060,752.694328,0.378502,,,,0.7929,0.3758,0.4406,
2013-05-06,Yui,Elevated,2,2.7,0,16.4,20.4,2665,R2.7_Amb,1.777802,383.617297,0.357417,0.498592,0.0004986,1.162496,0.8864,0.1913,0.4155,
2013-05-06,Yui,Elevated,2,2.7,15,,,2665,R2.7_T15,1.751499,569.130060,0.385423,,,,0.8733,0.2838,0.4481,
2013-05-06,Yui,Elevated,2,2.7,30,,,2665,R2.7_T30,1.587260,734.948936,0.371253,,,,0.7914,0.3664,0.4316,
2013-05-06,Yui,Elevated,2,2.7,45,,,2665,R2.7_T45,1.546286,911.679945,0.377735,,,,0.7710,0.4546,0.4391,
2013-05-06,Loic,Elevated,3,3.0,0,15.8,20.7,2666,R3.0_Amb,1.817700,582.665704,0.357236,0.498083,0.0004981,1.161309,0.9054,0.2902,0.4149,
2013-05-06,Loic,Elevated,3,3.0,15,,,2666,R3.0_T15,1.726348,663.375733,0.363088,,,,0.8599,0.3304,0.4217,
2013-05-06,Loic,Elevated,3,3.0,30,,,2666,R3.0_T30,1.602693,938.183621,0.355218,,,,0.7983,0.4673,0.4125,
2013-05-06,Loic,Elevated,3,3.0,45,,,2666,R3.0_T45,1.479156,1172.985661,0.351267,,,,0.7367,0.5842,0.4079,
2013-05-06,Loic,Elevated,3,3.1,0,15.5,20.0,2667,R3.1_Amb,1.815615,346.971814,0.346129,0.499272,0.0004993,1.164082,0.9065,0.1732,0.4029,
2013-05-06,Loic,Elevated,3,3.1,15,,,2667,R3.1_T15,1.751018,637.639444,0.346329,,,,0.8742,0.3184,0.4032,
2013-05-06,Loic,Elevated,3,3.1,30,,,2667,R3.1_T30,1.583594,924.703462,0.346123,,,,0.7906,0.4617,0.4029,
2013-05-06,Loic,Elevated,3,3.1,45,,,2667,R3.1_T45,1.661018,1122.313992,0.371040,,,,0.8293,0.5603,0.4319,
2013-05-06,Loic,Elevated,3,3.2,0,16.3,20.6,2668,R3.2_Amb,2.177695,443.162591,0.409815,0.498253,0.0004983,1.161704,1.0850,0.2208,0.4761,
2013-05-06,Loic,Elevated,3,3.2,15,,,2668,R3.2_T15,1.778625,578.933104,0.352596,,,,0.8862,0.2885,0.4096,
2013-05-06,Loic,Elevated,3,3.2,30,,,2668,R3.2_T30,1.693623,803.324131,0.350395,,,,0.8439,0.4003,0.4071,
2013-05-06,Loic,Elevated,3,3.2,45,,,2668,R3.2_T45,1.574813,1060.065027,0.360554,,,,0.7847,0.5282,0.4189,
2013-05-06,Loic,Elevated,3,3.4,0,16.1,18.6,2669,R3.4_Amb,1.908572,423.618157,0.362678,0.501668,0.0005017,1.169668,0.9575,0.2125,0.4242,Sample lost. So average of Tamb of other collars in ring was used
2013-05-06,Loic,Elevated,3,3.4,15,,,2669,R3.4_T15,1.990398,627.587725,0.344371,,,,0.9985,0.3148,0.4028,
2013-05-06,Loic,Elevated,3,3.4,30,,,2669,R3.4_T30,1.809424,823.924319,0.357344,,,,0.9077,0.4133,0.4180,
2013-05-06,Loic,Elevated,3,3.4,45,,,2669,R3.4_T45,1.598940,1090.088762,0.362042,,,,0.8021,0.5469,0.4235,
2013-05-06,Pankaj,Elevated,3,3.5,0,16.0,19.4,2670,R3.5_Amb,1.973762,362.457889,0.373624,0.500296,0.0005003,1.166469,0.9875,0.1813,0.4358,
2013-05-06,Pankaj,Elevated,3,3.5,15,,,2670,R3.5_T15,1.870446,676.611488,0.376252,,,,0.9358,0.3385,0.4389,
2013-05-06,Pankaj,Elevated,3,3.5,30,,,2670,R3.5_T30,1.850641,871.482313,0.355849,,,,0.9259,0.4360,0.4151,
2013-05-06,Pankaj,Elevated,3,3.5,45,,,2670,R3.5_T45,1.698985,999.337367,0.351362,,,,0.8500,0.5000,0.4099,
2013-05-06,Pankaj,Elevated,3,3.6,0,15.9,19.6,2671,R3.6_Amb,1.834905,337.636846,0.330729,0.499954,0.0005000,1.165672,0.9174,0.1688,0.3855,
2013-05-06,Pankaj,Elevated,3,3.6,15,,,2671,R3.6_T15,2.070248,697.771650,0.403512,,,,1.0350,0.3489,0.4704,
2013-05-06,Pankaj,Elevated,3,3.6,30,,,2671,R3.6_T30,1.714746,963.535990,0.346217,,,,0.8573,0.4817,0.4036,
2013-05-06,Pankaj,Elevated,3,3.6,45,,,2671,R3.6_T45,1.626638,1242.383905,0.362753,,,,0.8132,0.6211,0.4229,
2013-05-06,Loic,Elevated,3,3.7,0,15.6,21.8,2672,R3.7_Amb,1.831757,468.814095,0.358535,0.496225,0.0004962,1.156978,0.9090,0.2326,0.4148,
2013-05-06,Loic,Elevated,3,3.7,15,,,2672,R3.7_T15,1.961692,856.235591,0.390986,,,,0.9734,0.4249,0.4524,
2013-05-06,Loic,Elevated,3,3.7,30,,,2672,R3.7_T30,1.759768,1137.574988,0.358052,,,,0.8732,0.5645,0.4143,
2013-05-06,Loic,Elevated,3,3.7,45,,,2672,R3.7_T45,1.717114,1397.891127,0.345341,,,,0.8521,0.6937,0.3996,
2013-05-06,Catarina,Ambient,4,4.0,0,16.5,23.3,2673,R4.0_Amb,1.701194,426.069496,0.357425,0.493715,0.0004937,1.151124,0.8399,0.2104,0.4114,
2013-05-06,Catarina,Ambient,4,4.0,15,,,2673,R4.0_T15,1.661008,938.646395,0.365962,,,,0.8201,0.4634,0.4213,
2013-05-06,Catarina,Ambient,4,4.0,30,,,2673,R4.0_T30,1.682749,1215.404287,0.355879,,,,0.8308,0.6001,0.4097,
2013-05-06,Catarina,Ambient,4,4.0,45,,,2673,R4.0_T45,1.665137,1468.361773,0.357329,,,,0.8221,0.7250,0.4113,
2013-05-06,Catarina,Ambient,4,4.1,0,17.0,17.2,2674,R4.1_Amb,1.816022,457.426119,0.361015,0.504087,0.0005041,1.175308,0.9154,0.2306,0.4243,
2013-05-06,Catarina,Ambient,4,4.1,15,,,2674,R4.1_T15,1.860177,809.446743,0.353959,,,,0.9377,0.4080,0.4160,
2013-05-06,Catarina,Ambient,4,4.1,30,,,2674,R4.1_T30,1.738068,1281.958038,0.368756,,,,0.8761,0.6462,0.4334,
2013-05-06,Catarina,Ambient,4,4.1,45,,,2674,R4.1_T45,1.530239,1641.964834,0.362876,,,,0.7714,0.8277,0.4265,
2013-05-06,Catarina,Ambient,4,4.3,0,15.3,17.0,2675,R4.3_Amb,1.902612,424.458330,0.374721,0.504435,0.0005044,1.176118,0.9597,0.2141,0.4407,
2013-05-06,Catarina,Ambient,4,4.3,15,,,2675,R4.3_T15,1.958651,782.625337,0.372991,,,,0.9880,0.3948,0.4387,
2013-05-06,Catarina,Ambient,4,4.3,30,,,2675,R4.3_T30,1.632951,1026.921285,0.352428,,,,0.8237,0.5180,0.4145,
2013-05-06,Catarina,Ambient,4,4.3,45,,,2675,R4.3_T45,1.909471,1260.532515,0.381386,,,,0.9632,0.6359,0.4486,
2013-05-06,Catarina,Ambient,4,4.4,0,16.3,17.0,2676,R4.4_Amb,2.092605,633.017582,0.362876,0.504435,0.0005044,1.176118,1.0556,0.3193,0.4268,
2013-05-06,Catarina,Ambient,4,4.4,15,,,2676,R4.4_T15,2.217540,771.509005,0.357544,,,,1.1186,0.3892,0.4205,
2013-05-06,Catarina,Ambient,4,4.4,30,,,2676,R4.4_T30,2.215248,1019.649477,0.367468,,,,1.1174,0.5143,0.4322,
2013-05-06,Catarina,Ambient,4,4.4,45,,,2676,R4.4_T45,2.040018,1454.410295,0.375743,,,,1.0291,0.7337,0.4419,
2013-05-06,Catarina,Ambient,4,4.5,0,16.2,17.6,2677,R4.5_Amb,2.228342,477.641684,0.364653,0.503394,0.0005034,1.173691,1.1217,0.2404,0.4280,
2013-05-06,Catarina,Ambient,4,4.5,15,,,2677,R4.5_T15,1.652183,961.940705,0.364609,,,,0.8317,0.4842,0.4279,
2013-05-06,Catarina,Ambient,4,4.5,30,,,2677,R4.5_T30,1.532634,1264.639385,0.354104,,,,0.7715,0.6366,0.4156,
2013-05-06,Catarina,Ambient,4,4.5,45,,,2677,R4.5_T45,1.590540,1530.753973,0.362545,,,,0.8007,0.7706,0.4255,
2013-05-06,Catarina,Ambient,4,4.6,0,17.0,17.8,2678,R4.6_Amb,1.682454,469.915545,0.356890,0.503048,0.0005030,1.172884,0.8464,0.2364,0.4186,"For CO2, high residuals and Cooks (for Quad model only - same with N2O). Probably due lack of conc. difference @ T15 and T30. But no reason to remove point"
2013-05-06,Catarina,Ambient,4,4.6,15,,,2678,R4.6_T15,1.725033,1017.978404,0.377239,,,,0.8678,0.5121,0.4425,"For CO2, high residuals (for Quad model only - same with N2O). Probably due lack of conc. difference @ T15 and T30. But no reason to remove point"
2013-05-06,Catarina,Ambient,4,4.6,30,,,2678,R4.6_T30,1.642080,1174.178782,0.347122,,,,0.8260,0.5907,0.4071,"For CO2, high residuals (for Quad model only - same with N2O). Probably due lack of conc. difference @ T15 and T30. But no reason to remove point"
2013-05-06,Catarina,Ambient,4,4.6,45,,,2678,R4.6_T45,1.559867,1693.085607,0.381177,,,,0.7847,0.8517,0.4471,"For CO2, high residuals and Cooks (for Quad model only - same with N2O). Probably due lack of conc. difference @ T15 and T30. But no reason to remove point"
2013-05-06,Catarina,Ambient,4,4.7,0,15.2,18.0,2679,R4.7_Amb,1.719933,454.176246,0.350545,0.502702,0.0005027,1.172078,0.8646,0.2283,0.4109,
2013-05-06,Catarina,Ambient,4,4.7,15,,,2679,R4.7_T15,1.795652,819.718341,0.373044,,,,0.9027,0.4121,0.4372,
2013-05-06,Catarina,Ambient,4,4.7,30,,,2679,R4.7_T30,1.640159,1001.342555,0.365392,,,,0.8245,0.5034,0.4283,
2013-05-06,Catarina,Ambient,4,4.7,45,,,2679,R4.7_T45,1.552311,1243.155363,0.378138,,,,0.7803,0.6249,0.4432,
2013-05-06,Catarina,Ambient,5,5.0,0,15.3,18.7,2680,R5.0_Amb,2.358849,573.003935,0.443501,0.501496,0.0005015,1.169267,1.1830,0.2874,0.5186,
2013-05-06,Catarina,Ambient,5,5.0,15,,,2680,R5.0_T15,2.006141,704.120874,0.370054,,,,1.0061,0.3531,0.4327,
2013-05-06,Catarina,Ambient,5,5.0,30,,,2680,R5.0_T30,1.783714,990.797453,0.357600,,,,0.8945,0.4969,0.4181,
2013-05-06,Catarina,Ambient,5,5.0,45,,,2680,R5.0_T45,1.661094,1205.988480,0.362491,,,,0.8330,0.6048,0.4238,
2013-05-06,Catarina,Ambient,5,5.1,0,15.6,19.6,2681,R5.1_Amb,1.861657,534.389576,0.336063,0.499954,0.0005000,1.165672,0.9307,0.2672,0.3917,
2013-05-06,Catarina,Ambient,5,5.1,15,,,2681,R5.1_T15,1.831712,712.431561,0.354427,,,,0.9158,0.3562,0.4131,
2013-05-06,Catarina,Ambient,5,5.1,30,,,2681,R5.1_T30,1.747993,1000.478421,0.383448,,,,0.8739,0.5002,0.4470,
2013-05-06,Catarina,Ambient,5,5.1,45,,,2681,R5.1_T45,1.811947,1321.328828,0.416501,,,,0.9059,0.6606,0.4855,
2013-05-06,Catarina,Ambient,5,5.2,0,16.0,20.0,2682,R5.2_Amb,1.752827,574.894485,0.348844,0.499272,0.0004993,1.164082,0.8751,0.2870,0.4061,
2013-05-06,Catarina,Ambient,5,5.2,15,,,2682,R5.2_T15,1.806797,1034.855491,0.374710,,,,0.9021,0.5167,0.4362,
2013-05-06,Catarina,Ambient,5,5.2,30,,,2682,R5.2_T30,1.656098,1470.248050,0.368842,,,,0.8268,0.7341,0.4294,
2013-05-06,Catarina,Ambient,5,5.2,45,,,2682,R5.2_T45,1.652699,1889.330632,0.409888,,,,0.8251,0.9433,0.4771,
2013-05-06,Catarina,Ambient,5,5.3,0,16.2,21.0,2683,R5.3_Amb,1.920917,534.061342,0.356088,0.497575,0.0004976,1.160124,0.9558,0.2657,0.4131,
2013-05-06,Catarina,Ambient,5,5.3,15,,,2683,R5.3_T15,1.904808,865.122786,0.364347,,,,0.9478,0.4305,0.4227,
2013-05-06,Catarina,Ambient,5,5.3,30,,,2683,R5.3_T30,1.868357,1218.259737,0.374946,,,,0.9296,0.6062,0.4350,
2013-05-06,Catarina,Ambient,5,5.3,45,,,2683,R5.3_T45,1.816277,1363.721823,0.381821,,,,0.9037,0.6786,0.4430,
2013-05-06,Catarina,Ambient,5,5.4,0,16.3,20.1,2684,R5.4_Amb,1.910126,423.244753,0.351511,0.499102,0.0004991,1.163685,0.9533,0.2112,0.4090,
2013-05-06,Catarina,Ambient,5,5.4,15,,,2684,R5.4_T15,1.803354,850.364067,0.353885,,,,0.9001,0.4244,0.4118,
2013-05-06,Catarina,Ambient,5,5.4,30,,,2684,R5.4_T30,1.827740,1079.708507,0.351072,,,,0.9122,0.5389,0.4085,
2013-05-06,Catarina,Ambient,5,5.4,45,,,2684,R5.4_T45,1.741416,1362.766120,0.378045,,,,0.8691,0.6802,0.4399,
2013-05-06,Catarina,Ambient,5,5.5,0,15.4,19.7,2685,R5.5_Amb,1.845548,460.502100,0.342304,0.499784,0.0004998,1.165274,0.9224,0.2302,0.3989,
2013-05-06,Catarina,Ambient,5,5.5,15,,,2685,R5.5_T15,1.842852,798.383081,0.351552,,,,0.9210,0.3990,0.4097,
2013-05-06,Catarina,Ambient,5,5.5,30,,,2685,R5.5_T30,1.844296,1143.281063,0.370586,,,,0.9217,0.5714,0.4318,
2013-05-06,Catarina,Ambient,5,5.5,45,,,2685,R5.5_T45,1.776882,1262.655809,0.354231,,,,0.8881,0.6311,0.4128,
2013-05-06,Catarina,Ambient,5,5.6,0,16.2,19.6,2686,R5.6_Amb,1.860489,642.243616,0.355147,0.499954,0.0005000,1.165672,0.9302,0.3211,0.4140,
