Sampling Date;Day;Month;Year;Season;Operator;Block;CO2_trtmt;Ring;Collar;Month_Ring;Month_Collar;SampleTrackerNo;Av_SoilTemp;Av_SoilMoisture;Av_AirTemp;TFUcorr_Final_CH4_flux;TFUcorr_Final_CO2_flux;TFUcorr_Final_N2O_flux;Final_CH4_MDF;Final_CO2_MDF;Final_N2O_MDF;logFinal_CH4_flux;logFinal_CO2_flux;logFinal_N2O_flux
6-May-13;6;May;2013;Autumn;Loic;1;Elevated;1;1;May R1;May 1.0;2652;15.8;2.7;19.8;-21.653;73.752;-5.688;10.506;4.154;4.306;-1.336;1.868;-0.755
6-May-13;6;May;2013;Autumn;Loic;1;Elevated;1;1.1;May R1;May 1.1;2653;15.5;2;17.7;-16.542;53.102;7.282;10.176;4.024;4.171;-1.219;1.725;0.862
6-May-13;6;May;2013;Autumn;Loic;1;Elevated;1;1.2;May R1;May 1.2;2654;15.3;3;19;-29.811;77.927;-2.489;9.841;3.891;4.034;-1.474;1.892;-0.396
6-May-13;6;May;2013;Autumn;Loic;1;Elevated;1;1.4;May R1;May 1.4;2655;15.7;2.7;18;-13.522;71.857;1.092;10.474;4.141;4.293;-1.131;1.856;0.038
6-May-13;6;May;2013;Autumn;Loic;1;Elevated;1;1.5;May R1;May 1.5;2656;15.2;3.3;19;-27.293;124.668;6.601;10.518;4.159;4.312;-1.436;2.096;0.82
6-May-13;6;May;2013;Autumn;Loic;1;Elevated;1;1.6;May R1;May 1.6;2657;15.3;3;18;*;*;*;38.328;15.155;15.711;#VALUE!;#VALUE!;#VALUE!
6-May-13;6;May;2013;Autumn;Loic;1;Elevated;1;1.7;May R1;May 1.7;2658;15.5;2.7;17.4;-28.211;60.449;-4.48;10.382;4.105;4.255;-1.45;1.781;-0.651
6-May-13;6;May;2013;Autumn;Catarina;1;Ambient;2;2;May R2;May 2.0;2659;15.8;2;18.3;-14.937;45.858;7.89;10.608;4.195;4.348;-1.174;1.661;0.897
6-May-13;6;May;2013;Autumn;Catarina;1;Ambient;2;2.1;May R2;May 2.1;2660;15.7;2;20.2;-13.084;94.836;6.867;10.427;4.123;4.274;-1.117;1.977;0.837
6-May-13;6;May;2013;Autumn;Catarina;1;Ambient;2;2.2;May R2;May 2.2;2661;16.1;1.3;21.3;-9.502;49.419;6.076;9.572;3.785;3.924;-0.978;1.694;0.784
6-May-13;6;May;2013;Autumn;Yui;1;Ambient;2;2.3;May R2;May 2.3;2662;15.7;1;21.2;-33.568;47.985;-2.165;10.568;4.179;4.332;-1.526;1.681;-0.335
6-May-13;6;May;2013;Autumn;Catarina;1;Ambient;2;2.5;May R2;May 2.5;2663;15.8;1.3;18.5;4.797;45.496;*;10.714;4.236;4.392;0.681;1.658;#VALUE!
6-May-13;6;May;2013;Autumn;Catarina;1;Ambient;2;2.6;May R2;May 2.6;2664;16.1;1;20;-13.108;55.277;6.331;10.643;4.208;4.363;-1.118;1.743;0.801
6-May-13;6;May;2013;Autumn;Yui;1;Ambient;2;2.7;May R2;May 2.7;2665;16.1;2;20.4;-27.998;78.071;4.7;10.5;4.152;4.304;-1.447;1.892;0.672
6-May-13;6;May;2013;Autumn;Loic;2;Ambient;3;3;May R3;May 3.0;2666;16;5.3;20.7;-35.822;82.23;-1.906;10.121;4.002;4.149;-1.554;1.915;-0.28
6-May-13;6;May;2013;Autumn;Loic;2;Ambient;3;3.1;May R3;May 3.1;2667;16;4.7;20;-19.542;104.27;6.721;9.968;3.941;4.086;-1.291;2.018;0.827
6-May-13;6;May;2013;Autumn;Loic;2;Ambient;3;3.2;May R3;May 3.2;2668;16;4.7;20.6;*;87.521;-11.351;36.106;4.136;4.288;#VALUE!;1.942;-1.055
6-May-13;6;May;2013;Autumn;Loic;2;Ambient;3;3.4;May R3;May 3.4;2669;15.8;6.7;18.6;-35.871;89.668;1.034;10.404;4.114;4.264;-1.555;1.953;0.015
6-May-13;6;May;2013;Autumn;Pankaj;2;Ambient;3;3.5;May R3;May 3.5;2670;15.7;9.3;19.4;-26.991;83.07;-6.486;10.295;4.07;4.22;-1.431;1.919;-0.812
6-May-13;6;May;2013;Autumn;Pankaj;2;Ambient;3;3.6;May R3;May 3.6;2671;15.5;6.7;19.6;-31.134;120.396;3.556;10.223;4.042;4.191;-1.493;2.081;0.551
6-May-13;6;May;2013;Autumn;Loic;2;Ambient;3;3.7;May R3;May 3.7;2672;16.1;5.3;21.8;-16.85;121.973;-5.206;9.939;3.93;4.074;-1.227;2.086;-0.717
6-May-13;6;May;2013;Autumn;Catarina;2;Elevated;4;4;May R4;May 4.0;2673;15.3;3.7;23.3;-2.818;143.629;-0.785;10.493;4.149;4.301;-0.45;2.157;0.105
6-May-13;6;May;2013;Autumn;Catarina;2;Elevated;4;4.1;May R4;May 4.1;2674;15.3;5.7;17.2;-33.466;176.963;2.031;11.006;4.352;4.511;-1.525;2.248;0.308
6-May-13;6;May;2013;Autumn;Catarina;2;Elevated;4;4.3;May R4;May 4.3;2675;15;5;17;-9.397;110.404;-0.031;9.925;3.924;4.068;-0.973;2.043;1.515
6-May-13;6;May;2013;Autumn;Catarina;2;Elevated;4;4.4;May R4;May 4.4;2676;15;6.3;17;-5.254;113.239;4.58;10.575;4.181;4.335;-0.72;2.054;0.661
6-May-13;6;May;2013;Autumn;Catarina;2;Elevated;4;4.5;May R4;May 4.5;2677;15.4;5.7;17.6;*;143.872;-1.281;36.199;4.147;4.299;#VALUE!;2.158;-0.108
6-May-13;6;May;2013;Autumn;Catarina;2;Elevated;4;4.6;May R4;May 4.6;2678;15.1;5.3;17.8;-15.384;165.118;4.18;10.983;4.343;4.502;-1.187;2.218;0.621
6-May-13;6;May;2013;Autumn;Catarina;2;Elevated;4;4.7;May R4;May 4.7;2679;15;4;18;-20.164;101.221;6.75;9.858;3.898;4.041;-1.305;2.005;0.829
