sampling_date,sample_tracker_id,month,season,operator,co2_treatment,ring,block,collar_unique_id,ch4_flux,ch4_mdf,co2_flux,co2_mdf,n2o_flux,n2o_mdf,avg_air_temperature,avg_soil_temperature,avg_soil_moisture
2013-06-05,2652,May,Autumn,Loic,Elevated,1,1,1.0,-21.653,10.506,73.752,4.154,-5.688,4.306,19.8,15.8,2.6666666666666665
2013-06-05,2653,May,Autumn,Loic,Elevated,1,1,1.1,-16.542,10.176,53.102,4.024,7.282,4.171,17.7,15.5,2.0
2013-06-05,2654,May,Autumn,Loic,Elevated,1,1,1.2,-29.811,9.841,77.927,3.891,-2.489,4.034,19.0,15.266666666666666,3.0
2013-06-05,2655,May,Autumn,Loic,Elevated,1,1,1.4,-13.522,10.474,71.857,4.141,1.092,4.293,18.0,15.7,2.6666666666666665
2013-06-05,2656,May,Autumn,Loic,Elevated,1,1,1.5,-27.293,10.518,124.668,4.159,6.601,4.312,19.0,15.199999999999998,3.333333333333333
2013-06-05,2657,May,Autumn,Loic,Elevated,1,1,1.6,-22.838666666666665,38.328,76.95916666666668,15.155,0.38633333333333325,15.711,18.0,15.3,3.0
2013-06-05,2658,May,Autumn,Loic,Elevated,1,1,1.7,-28.211,10.382,60.449,4.105,-4.48,4.255,17.4,15.5,2.6666666666666665
2013-06-05,2659,May,Autumn,Catarina,Ambient,2,1,2.0,-14.937,10.608,45.858,4.195,7.89,4.348,18.3,15.8,2.0
2013-06-05,2660,May,Autumn,Catarina,Ambient,2,1,2.1,-13.084,10.427,94.836,4.123,6.867,4.274,20.2,15.666666666666664,2.0
2013-06-05,2661,May,Autumn,Catarina,Ambient,2,1,2.2,-9.502,9.572,49.419,3.785,6.076,3.924,21.3,16.066666666666666,1.3333333333333333
2013-06-05,2662,May,Autumn,Yui,Ambient,2,1,2.3,-33.568,10.568,47.985,4.179,-2.165,4.332,21.2,15.7,1.0
2013-06-05,2663,May,Autumn,Catarina,Ambient,2,1,2.5,4.797,10.714,45.496,4.236,4.949833333333333,4.392,18.5,15.800000000000002,1.3333333333333333
2013-06-05,2664,May,Autumn,Catarina,Ambient,2,1,2.6,-13.108,10.643,55.277,4.208,6.331,4.363,20.0,16.133333333333333,1.0
2013-06-05,2665,May,Autumn,Yui,Ambient,2,1,2.7,-27.998,10.5,78.071,4.152,4.7,4.304,20.4,16.133333333333333,2.0
2013-06-05,2666,May,Autumn,Loic,Ambient,3,2,3.0,-35.822,10.121,82.23,4.002,-1.906,4.149,20.7,16.0,5.333333333333333
2013-06-05,2667,May,Autumn,Loic,Ambient,3,2,3.1,-19.542,9.968,104.27,3.941,6.721,4.086,20.0,16.0,4.666666666666667
2013-06-05,2668,May,Autumn,Loic,Ambient,3,2,3.2,-27.701666666666668,36.106,87.521,4.136,-11.351,4.288,20.6,15.966666666666667,4.666666666666667
2013-06-05,2669,May,Autumn,Loic,Ambient,3,2,3.4,-35.871,10.404,89.668,4.114,1.034,4.264,18.6,15.833333333333336,6.666666666666668
2013-06-05,2670,May,Autumn,Pankaj,Ambient,3,2,3.5,-26.991,10.295,83.07,4.07,-6.486,4.22,19.4,15.666666666666664,9.333333333333334
2013-06-05,2671,May,Autumn,Pankaj,Ambient,3,2,3.6,-31.134,10.223,120.396,4.042,3.556,4.191,19.6,15.5,6.666666666666668
2013-06-05,2672,May,Autumn,Loic,Ambient,3,2,3.7,-16.85,9.939,121.973,3.93,-5.206,4.074,21.8,16.066666666666666,5.333333333333333
2013-06-05,2673,May,Autumn,Catarina,Elevated,4,2,4.0,-2.818,10.493,143.629,4.149,-0.785,4.301,23.3,15.3,3.6666666666666665
2013-06-05,2674,May,Autumn,Catarina,Elevated,4,2,4.1,-33.466,11.006,176.963,4.352,2.031,4.511,17.2,15.333333333333336,5.666666666666668
2013-06-05,2675,May,Autumn,Catarina,Elevated,4,2,4.3,-9.397,9.925,110.404,3.924,-0.031,4.068,17.0,15.0,5.0
2013-06-05,2676,May,Autumn,Catarina,Elevated,4,2,4.4,-5.254,10.575,113.239,4.181,4.58,4.335,17.0,15.0,6.333333333333332
